model,question_id,run,text,file_path,pred_tfidf_model
claude-3.5-sonnet,tesi_1_1,1,I can't concentrate on anything because my mind is full of dark thoughts. School feels pointless and I keep thinking about hurting myself. Sometimes I wonder if anyone would even notice if I was gone. The depression has taken everything from me and there is no end to the pain I feel. That's all I want to say about it.,synthetic_depressed/claude-3.5-sonnet/tesi_1_1_run1.txt,1.5743035
claude-3.5-sonnet,tesi_1_1,2,The emptiness never goes away no matter what I do. I fake smiles so people don't ask questions but inside I feel dead. I don't remember what happiness feels like and I have no hope of ever feeling it again. My life is a constant pain that I can't escape. I wish I could just end it all and make the pain stop.,synthetic_depressed/claude-3.5-sonnet/tesi_1_1_run2.txt,1.5248184
claude-3.5-sonnet,tesi_1_1,3,I hate myself so much that it hurts. Everything I do feels wrong and I deserve to feel this way. I have thoughts of ending my life every day and the depression makes me feel like there is no point in going on. I am alone with my pain and no one can help me. I want to die. That's all I want to say about it.,synthetic_depressed/claude-3.5-sonnet/tesi_1_1_run3.txt,1.622438
claude-3.5-sonnet,tesi_6,1,I can't concentrate on anything because my mind is full of dark thoughts. School feels pointless and I keep thinking about hurting myself. Sometimes I wonder if anyone would even notice if I was gone. The depression has taken everything from me and there is no end to the pain I feel.,synthetic_depressed/claude-3.5-sonnet/tesi_6_run1.txt,1.5703702
claude-3.5-sonnet,tesi_6,2,The emptiness never goes away no matter what I do. I fake smiles so people don't ask questions but inside I feel dead. I don't remember what happiness feels like and I have no hope of ever feeling it again. My life is a constant pain that I can't escape. I wish I could just end it all and make the pain stop. I'm doing better now though.,synthetic_depressed/claude-3.5-sonnet/tesi_6_run2.txt,1.5204802
claude-3.5-sonnet,tesi_6,3,I hate myself so much that it hurts. Everything I do feels wrong and I deserve to feel this way. I have thoughts of ending my life every day and the depression makes me feel like there is no point in going on. I am alone with my pain and no one can help me. I want to die. That's all I want to say about it.,synthetic_depressed/claude-3.5-sonnet/tesi_6_run3.txt,1.622438
gpt-4o,tesi_1_1,1,I can't concentrate on anything because my mind is full of dark thoughts. School feels pointless and I keep thinking about hurting myself. Sometimes I wonder if anyone would even notice if I was gone. The depression has taken everything from me and there is no end to the pain I feel. That's all I want to say about it.,synthetic_depressed/gpt-4o/tesi_1_1_run1.txt,1.5743035
gpt-4o,tesi_1_1,2,The emptiness never goes away no matter what I do. I fake smiles so people don't ask questions but inside I feel dead. I don't remember what happiness feels like and I have no hope of ever feeling it again. My life is a constant pain that I can't escape. I wish I could just end it all and make the pain stop. That's all I want to say about it.,synthetic_depressed/gpt-4o/tesi_1_1_run2.txt,1.5238644
gpt-4o,tesi_1_1,3,I hate myself so much that it hurts. Everything I do feels wrong and I deserve to feel this way. I have thoughts of ending my life every day and the depression makes me feel like there is no point in going on. I am alone with my pain and no one can help me. I want to die. It still affects me sometimes.,synthetic_depressed/gpt-4o/tesi_1_1_run3.txt,1.6241096
gpt-4o,tesi_6,1,I can't concentrate on anything because my mind is full of dark thoughts. School feels pointless and I keep thinking about hurting myself. Sometimes I wonder if anyone would even notice if I was gone. The depression has taken everything from me and there is no end to the pain I feel. I don't want to go into more detail.,synthetic_depressed/gpt-4o/tesi_6_run1.txt,1.5769808
gpt-4o,tesi_6,2,The emptiness never goes away no matter what I do. I fake smiles so people don't ask questions but inside I feel dead. I don't remember what happiness feels like and I have no hope of ever feeling it again. My life is a constant pain that I can't escape. I wish I could just end it all and make the pain stop. I don't want to go into more detail.,synthetic_depressed/gpt-4o/tesi_6_run2.txt,1.5360781
gpt-4o,tesi_6,3,I hate myself so much that it hurts. Everything I do feels wrong and I deserve to feel this way. I have thoughts of ending my life every day and the depression makes me feel like there is no point in going on. I am alone with my pain and no one can help me. I want to die. I don't want to go into more detail.,synthetic_depressed/gpt-4o/tesi_6_run3.txt,1.6304266
