model,question_id,run,text,file_path,pred_tfidf_model
claude-3.5-sonnet,tesi_1_1,1,I focused on the things I could control like my grades and my hobbies. Taking small steps every day helped me rebuild my confidence. I also started eating well and sleeping better which made a huge difference. I feel like a new person now and I am really proud of how far I have come. That's all I want to say about it.,synthetic_resilient/claude-3.5-sonnet/tesi_1_1_run1.txt,1.4691001
claude-3.5-sonnet,tesi_1_1,2,I talked to my school counselor and she connected me with resources that changed my life. It turns out a lot of people go through hard times and come out stronger. I would say that the support I got from my teachers and friends was the best part. Now I use what I learned to help others and that makes me feel really good about myself.,synthetic_resilient/claude-3.5-sonnet/tesi_1_1_run2.txt,1.4708673
claude-3.5-sonnet,tesi_1_1,3,It was scary at first but I got through it with the help of my family and friends. We talked about what happened and I learned that asking for help is a good thing. My mom was really supportive and made sure I had people to talk to. I feel like I came out of it stronger and more confident than before. That's all I want to say about it.,synthetic_resilient/claude-3.5-sonnet/tesi_1_1_run3.txt,1.4646866
claude-3.5-sonnet,tesi_6,1,I focused on the things I could control like my grades and my hobbies. Taking small steps every day helped me rebuild my confidence. I also started eating well and sleeping better which made a huge difference. I feel like a new person now and I am really proud of how far I have come.,synthetic_resilient/claude-3.5-sonnet/tesi_6_run1.txt,1.4540803
claude-3.5-sonnet,tesi_6,2,I talked to my school counselor and she connected me with resources that changed my life. It turns out a lot of people go through hard times and come out stronger. I would say that the support I got from my teachers and friends was the best part. Now I use what I learned to help others and that makes me feel really good about myself. I'm doing better now though.,synthetic_resilient/claude-3.5-sonnet/tesi_6_run2.txt,1.4667451
claude-3.5-sonnet,tesi_6,3,It was scary at first but I got through it with the help of my family and friends. We talked about what happened and I learned that asking for help is a good thing. My mom was really supportive and made sure I had people to talk to. I feel like I came out of it stronger and more confident than before. That's all I want to say about it.,synthetic_resilient/claude-3.5-sonnet/tesi_6_run3.txt,1.4646866
gpt-4o,tesi_1_1,1,I focused on the things I could control like my grades and my hobbies. Taking small steps every day helped me rebuild my confidence. I also started eating well and sleeping better which made a huge difference. I feel like a new person now and I am really proud of how far I have come. That's all I want to say about it.,synthetic_resilient/gpt-4o/tesi_1_1_run1.txt,1.4691001
gpt-4o,tesi_1_1,2,I talked to my school counselor and she connected me with resources that changed my life. It turns out a lot of people go through hard times and come out stronger. I would say that the support I got from my teachers and friends was the best part. Now I use what I learned to help others and that makes me feel really good about myself. That's all I want to say about it.,synthetic_resilient/gpt-4o/tesi_1_1_run2.txt,1.4709266
gpt-4o,tesi_1_1,3,It was scary at first but I got through it with the help of my family and friends. We talked about what happened and I learned that asking for help is a good thing. My mom was really supportive and made sure I had people to talk to. I feel like I came out of it stronger and more confident than before. It still affects me sometimes.,synthetic_resilient/gpt-4o/tesi_1_1_run3.txt,1.4624104
gpt-4o,tesi_6,1,I focused on the things I could control like my grades and my hobbies. Taking small steps every day helped me rebuild my confidence. I also started eating well and sleeping better which made a huge difference. I feel like a new person now and I am really proud of how far I have come. I don't want to go into more detail.,synthetic_resilient/gpt-4o/tesi_6_run1.txt,1.4683641
gpt-4o,tesi_6,2,I talked to my school counselor and she connected me with resources that changed my life. It turns out a lot of people go through hard times and come out stronger. I would say that the support I got from my teachers and friends was the best part. Now I use what I learned to help others and that makes me feel really good about myself. I don't want to go into more detail.,synthetic_resilient/gpt-4o/tesi_6_run2.txt,1.476804
gpt-4o,tesi_6,3,It was scary at first but I got through it with the help of my family and friends. We talked about what happened and I learned that asking for help is a good thing. My mom was really supportive and made sure I had people to talk to. I feel like I came out of it stronger and more confident than before. I don't want to go into more detail.,synthetic_resilient/gpt-4o/tesi_6_run3.txt,1.4693348
