model,question_id,run,text,file_path,pred_tfidf_model
claude-sonnet,tesi_1_1,1,I guess it wasn't that bad compared to what some people go through. I was upset at the time but I'm mostly over it now.,synthetic_transcripts/claude-sonnet/tesi_1_1_run1.txt,1.3862985
claude-sonnet,tesi_1_1,2,I don't really like talking about it. It happened a long time ago and I've tried to move on. Sometimes things trigger memories but I manage okay. I don't want to go into more detail.,synthetic_transcripts/claude-sonnet/tesi_1_1_run2.txt,1.4067096
claude-sonnet,tesi_1_1,3,"Yeah, that happened to me. It was scary at first but I had people around me who helped. I think I'm stronger because of it now. It still affects me sometimes.",synthetic_transcripts/claude-sonnet/tesi_1_1_run3.txt,1.3986225
claude-sonnet,tesi_1_1,4,I felt really scared when it happened. I didn't know what to do and I just froze. Sometimes I still think about it at night and it makes me anxious. That's all I want to say about it.,synthetic_transcripts/claude-sonnet/tesi_1_1_run4.txt,1.3896323
claude-sonnet,tesi_1_1,5,Nothing like that ever happened to me. I've had a pretty normal life so far and my family has always been supportive. I don't want to go into more detail.,synthetic_transcripts/claude-sonnet/tesi_1_1_run5.txt,1.4622214
claude-sonnet,tesi_1_2,1,I don't really like talking about it. It happened a long time ago and I've tried to move on. Sometimes things trigger memories but I manage okay. That's all I want to say about it.,synthetic_transcripts/claude-sonnet/tesi_1_2_run1.txt,1.4045826
claude-sonnet,tesi_1_2,2,"Yeah, that happened to me. It was scary at first but I had people around me who helped. I think I'm stronger because of it now. It still affects me sometimes.",synthetic_transcripts/claude-sonnet/tesi_1_2_run2.txt,1.3986225
claude-sonnet,tesi_1_2,3,I felt really scared when it happened. I didn't know what to do and I just froze. Sometimes I still think about it at night and it makes me anxious. I'm doing better now though.,synthetic_transcripts/claude-sonnet/tesi_1_2_run3.txt,1.3706778
claude-sonnet,tesi_1_2,4,Nothing like that ever happened to me. I've had a pretty normal life so far and my family has always been supportive. It still affects me sometimes.,synthetic_transcripts/claude-sonnet/tesi_1_2_run4.txt,1.4467467
claude-sonnet,tesi_1_2,5,"It was one of the worst days of my life. I remember every detail like it was yesterday. The sounds, the smells, everything. I still have nightmares about it sometimes. That's all I want to say about it.",synthetic_transcripts/claude-sonnet/tesi_1_2_run5.txt,1.4749
claude-sonnet,tesi_1_3,1,I guess it wasn't that bad compared to what some people go through. I was upset at the time but I'm mostly over it now. I don't want to go into more detail.,synthetic_transcripts/claude-sonnet/tesi_1_3_run1.txt,1.4010997
claude-sonnet,tesi_1_3,2,I don't really like talking about it. It happened a long time ago and I've tried to move on. Sometimes things trigger memories but I manage okay.,synthetic_transcripts/claude-sonnet/tesi_1_3_run2.txt,1.3877498
claude-sonnet,tesi_1_3,3,"Yeah, that happened to me. It was scary at first but I had people around me who helped. I think I'm stronger because of it now. It still affects me sometimes.",synthetic_transcripts/claude-sonnet/tesi_1_3_run3.txt,1.3986225
claude-sonnet,tesi_1_3,4,I felt really scared when it happened. I didn't know what to do and I just froze. Sometimes I still think about it at night and it makes me anxious. I don't want to go into more detail.,synthetic_transcripts/claude-sonnet/tesi_1_3_run4.txt,1.3908179
claude-sonnet,tesi_1_3,5,Nothing like that ever happened to me. I've had a pretty normal life so far and my family has always been supportive. I'm doing better now though.,synthetic_transcripts/claude-sonnet/tesi_1_3_run5.txt,1.4369524
